n,operations_median,time_median,operations_brute,time_brute
15000,37100,0.00055,8340000,0.077836
15000,45473,0.000951,117915000,1.08231
15000,19271,0.000404,89790000,0.818035
15000,16687,0.000422,169740000,1.55173
15000,33283,0.00071,189945000,1.72949
15000,13524,0.000328,69600000,0.630114
15000,21501,0.000415,48060000,0.446868
15000,32670,0.000646,10935000,0.100372
15000,15946,0.000457,219345000,2.04731
15000,35413,0.000527,52905000,0.496033
15000,43838,0.000644,211395000,1.94953
15000,25966,0.000507,153105000,1.38139
15000,21834,0.000412,41265000,0.382886
17500,30116,0.000538,36137500,0.332362
17500,41218,0.001096,161472500,1.46758
17500,20417,0.000446,300230000,2.76209
17500,34488,0.000615,61775000,0.568459
17500,22296,0.000406,183522500,1.58006
17500,46962,0.000658,264915000,2.35962
17500,32441,0.000541,221305000,1.98811
17500,32534,0.000573,119367500,1.08206
17500,17902,0.000453,122237500,1.10904
17500,20521,0.000497,152862500,1.33374
17500,29081,0.000453,191852500,1.65553
17500,21443,0.000443,76370000,0.654691
17500,40908,0.000681,6545000,0.054242
17500,11440,0.000283,280752500,2.38583
17500,39608,0.000659,168105000,1.43325
17500,27333,0.00049,4060000,0.032797
17500,24617,0.000505,291322500,2.55118
17500,40171,0.000617,216230000,1.90246
17500,26069,0.000515,233940000,2.10806
17500,54520,0.001432,262482500,2.38753
17500,33698,0.000557,170082500,1.53537
17500,14422,0.000383,36575000,0.320588
17500,30909,0.000513,73430000,0.635978
17500,18675,0.000551,137532500,1.25392
17500,15211,0.000426,236180000,2.05108
20000,23699,0.000588,384120000,3.39097
20000,32170,0.000579,152680000,1.37684
20000,40814,0.000646,317520000,2.87256
20000,47942,0.000843,92320000,0.833352
20000,44587,0.000709,215820000,1.84934
20000,32491,0.000525,277860000,2.47793
20000,39765,0.000554,88140000,0.784501
20000,39013,0.000665,299340000,2.67524
20000,21511,0.000522,58000000,0.519117
20000,24466,0.000527,188120000,1.70606
20000,23371,0.00058,141000000,1.20468
20000,30982,0.000483,321340000,2.71023
20000,43279,0.000863,251280000,2.13987
20000,57266,0.000884,149140000,1.34035
20000,23488,0.000444,101440000,0.857764
20000,20170,0.000439,370520000,3.16014
20000,29108,0.000525,290300000,2.50077
20000,25468,0.000602,22460000,0.203803
20000,15910,0.000412,267140000,2.2572
20000,42316,0.000694,11200000,0.102971
20000,46212,0.000711,1580000,0.012817
20000,36380,0.00059,361740000,3.14041
20000,32810,0.000658,21740000,0.184113
20000,21061,0.000472,29340000,0.251398
20000,15612,0.000379,8840000,0.075356
22500,68397,0.001,147667500,1.25452
22500,28919,0.000577,346882500,2.95557
22500,42476,0.00072,481995000,4.14108
22500,40349,0.000748,249412500,2.11672
22500,18473,0.00049,403717500,3.45957
22500,40125,0.000806,282667500,2.41561
22500,26894,0.00074,2857500,0.027543
22500,30430,0.000602,170595000,1.47434
22500,35983,0.000849,112005000,0.972255
22500,37330,0.000692,390600000,3.33697
22500,28556,0.000575,304965000,2.58432
22500,30062,0.000579,479227500,4.0637
22500,34495,0.000614,5197500,0.050779
22500,54903,0.00081,401715000,3.44644
22500,58397,0.00083,204030000,1.74518
22500,43942,0.000736,458010000,3.94414
22500,65969,0.000901,274590000,2.38003
22500,37863,0.000779,29160000,0.269099
22500,26100,0.000451,171022500,1.50977
22500,18013,0.000549,60390000,0.563952
22500,35611,0.000654,165397500,1.45595
22500,25537,0.000513,13387500,0.123718
22500,70807,0.000871,411615000,3.67149
22500,68112,0.000933,430942500,3.8516
22500,20907,0.000449,207472500,1.80416
25000,43635,0.000781,79450000,0.703857
25000,20015,0.000487,521400000,4.64087
25000,24999,0.000679,508725000,4.5194
25000,49599,0.001015,409950000,3.67705
25000,24266,0.000594,177250000,1.59297
25000,56379,0.000858,349650000,3.06754
25000,48752,0.000861,154400000,1.34702
25000,37372,0.00071,598950000,5.34881
25000,52270,0.000821,590225000,5.24187
25000,24015,0.001132,523300000,4.73956
25000,65935,0.000964,95875000,0.842532
25000,17540,0.000558,406275000,3.56006
25000,16773,0.000428,256300000,2.29554
25000,41765,0.000885,15075000,0.135234
25000,32257,0.001076,445525000,4.11157
25000,42079,0.000752,454150000,4.19239
25000,49116,0.000711,161950000,1.49748
25000,33483,0.000546,146825000,1.33769
25000,48169,0.000792,565000000,4.97746
25000,43141,0.000681,568700000,5.10375
25000,78271,0.001138,239050000,2.07437
25000,38332,0.00101,474875000,4.32613
25000,46034,0.000999,149300000,1.34062
25000,45660,0.000836,104300000,0.947145
25000,57005,0.00083,190975000,1.68131
27500,34649,0.000831,7617500,0.066595
27500,130482,0.001566,613250000,5.55901
27500,45875,0.000889,579562500,5.5491
27500,38252,0.001283,503415000,4.9116
27500,61681,0.001092,485952500,4.39581
27500,31227,0.000788,264797500,2.28938
27500,51229,0.00081,600517500,5.33843
27500,70731,0.001098,673392500,5.97209
27500,29650,0.000563,470057500,4.06636
27500,37313,0.00069,635690000,5.85332
27500,51227,0.000799,344575000,3.02084
27500,52347,0.000807,544582500,4.93578
27500,39823,0.000671,96002500,0.931979
27500,86458,0.001024,3905000,0.032214
27500,52367,0.000997,514167500,4.64043
27500,34536,0.000739,256025000,2.25968
27500,34031,0.000845,5967500,0.054186
27500,35148,0.000973,241257500,2.17428
27500,30383,0.000693,753197500,6.70239
27500,58872,0.00096,281407500,2.41105
27500,71278,0.001056,755370000,6.45507
27500,57458,0.000915,64267500,0.588472
27500,61319,0.000935,386512500,3.4969
27500,67609,0.00095,268345000,2.38291
27500,70331,0.001332,137307500,1.22247
30000,28323,0.000701,779820000,7.27068
30000,46555,0.000915,541350000,4.90451
30000,76743,0.00123,14130000,0.133995
30000,120403,0.001938,435930000,3.96855
30000,41312,0.000905,849600000,7.60706
30000,32558,0.000671,515070000,4.6807
30000,18578,0.000471,793320000,6.96347
30000,53838,0.001015,197700000,1.7993
30000,63798,0.000886,830820000,7.27168
30000,71585,0.001157,169980000,1.44335
30000,36697,0.000817,653370000,5.79562
30000,155352,0.002546,323190000,2.80568
30000,49516,0.000959,236880000,2.19118
30000,49187,0.000898,646590000,5.87535
30000,62356,0.001315,742830000,6.69671
30000,72070,0.001153,560490000,4.99945
30000,36316,0.00067,492360000,4.30253
30000,74997,0.001786,591660000,5.23253
30000,55706,0.000884,235710000,2.17545
30000,59209,0.00122,230820000,2.09269
30000,60846,0.000903,846870000,7.55183
30000,94991,0.001448,786990000,7.0798
30000,38184,0.001018,290280000,2.71894
30000,62071,0.001264,574260000,5.34091
30000,75580,0.001038,328980000,3.24055
32500,67996,0.001068,326657500,3.21086
32500,44050,0.001207,684320000,6.46513
32500,94714,0.001333,599592500,5.49542
32500,27646,0.000802,967102500,8.92663
32500,79290,0.00112,11277500,0.101221
32500,116663,0.00177,408330000,3.63677
32500,70678,0.001084,564330000,5.03006
32500,21106,0.000544,929467500,8.91532
32500,58823,0.000903,895245000,8.36786
32500,61076,0.000858,151612500,1.46129
32500,50821,0.00087,546747500,4.92666
32500,67119,0.001223,428935000,3.7315
32500,77390,0.001255,422565000,3.79554
32500,46698,0.000995,35327500,0.318269
32500,81599,0.001409,483925000,4.53243
32500,49883,0.000919,310050000,2.74472
32500,48788,0.000914,572195000,5.56252
32500,55485,0.000955,984035000,9.17844
32500,46240,0.000943,311675000,2.80579
32500,60673,0.001101,225452500,2.18569
32500,37055,0.000843,384897500,3.51312
32500,44247,0.001104,970450000,8.77705
32500,47237,0.000802,199940000,1.81625
32500,44504,0.000827,513792500,4.54585
32500,40053,0.000863,493350000,4.58192
35000,69670,0.001152,721770000,6.49635
35000,23762,0.000587,431480000,3.96027
35000,143955,0.001935,1505000,0.013224
35000,86247,0.00159,693105000,6.21122
35000,37635,0.000921,313215000,2.79174
35000,76642,0.001469,7980000,0.076055
35000,64101,0.001221,297290000,2.72005
35000,74159,0.001621,872865000,7.75415
35000,56487,0.001192,439460000,4.01661
35000,55790,0.001796,945665000,8.35112
35000,62879,0.001069,821065000,7.54335
35000,96303,0.001979,281470000,2.43507
35000,50930,0.001804,100065000,0.964442
35000,105324,0.001436,1149260000,10.4743
35000,50496,0.001075,1030365000,9.15011
35000,63108,0.001132,334915000,2.95394
35000,60819,0.001176,755370000,6.87519
35000,44898,0.001248,458430000,4.30566
35000,50477,0.000871,1010625000,9.37003
35000,90548,0.001284,1132915000,10.3621
35000,77127,0.001095,99505000,0.879644
35000,98632,0.00149,698565000,6.38664
35000,74714,0.001324,220430000,2.05566
35000,49409,0.000995,853895000,7.75503
35000,37314,0.001089,1110270000,9.92104
